Tea Name (ENG),Original Name,Language,Type,Company,Country
Berry Vines,Vignes de baies,French,Herbal,Higgins and Burke,Canada
Dirty Chai,Dirty Chai,French,Black,President's Choice,Canada
Pepermint Patch,Champ de menthe Poivree,French,Herbal,Higgins and Burke,Canada
Spiced Apple,Pomme Epicee,French,Herbal,President's Choice,Canada
Chamomile,Camomille,French,Infusion,Carrrefour,France
Forrest Berries,Forrest Berries,English,Infusion,Tchibo,Germany
Irish Cream,Irish Cream,English,Black,Teekanne,Germany
Ginger and Coconut,Gember en Kokos,Dutch,Organic,Albert Heijn,Netherlands
Jasmin and Passionfruit,Jasmin and Passionfruit,Energy,White,Pickwick,Netherlands
Lemon,Citroen,Dutch,Organic,Westminster,Netherlands
Lemon,Lemon,English,Black,Perla,Netherlands
Mango,Mango,Dutch,Organic,Westminster,Netherlands
Mango,Mango,English,Organic,Pickwick,Netherlands
Melon,Meloen,Dutch,Organic,Westminster,Netherlands
Orange,Sinnasappel,Dutch,Organic,Westminster,Netherlands
Original English,Original English,English,Black,Pickwick,Netherlands
Bilberry,Jagodowa,Polish,Herbal,Malwa,Poland
Black Currant with Lemon,Czarna Porzeczka,Polish,Herbal,Herbapol,Poland
A-Choo,Hapciu,Romanian,Organic,Fares,Romania
chamomile,musetel,Romanian,Organic,Fares,Romania
Cranberry and Rasberry,Merisoare si Zmeura,Romanian,Organic,Fares,Romania
Distinoplant,Distinoplant,Romanian,Organic,Fares,Romania
Energy,Energie,Romanian,Organic,Fares,Romania
Good Sleep,Somn Linistit,Romanian,Organic,Fares,Romania
Mint,Menta,Romanian,Organic,Alevia,Romania
Mint,Menta,Romanian,Organic,Fares,Romania
Buckthorn,Catina,Romanian,Organic,Fares,Romania
Orange Mango,Orange Mango,English,Cold Brew,Basilur,Sri Lanka
Pomegranate Blueberry,Pomegranate Blueberry,English,Cold Brew,Basilur,Sri Lanka
Strawberry Cucumber and mint,Strawberry Cucumber and mint,English,Cold Brew,Basilur,Sri Lanka
Sage,Adacayi,Turkish,Herbal,Dogadan,Turkey
Cinnamon Ginger and Cloves,Cinnamon Ginger and Cloves,English,Infusion,Clipper,United Kingdom
Lemongrass Citrus and Ginger,Lemongrass Citrus and Ginger,English,Organic,English Tea Shop,United Kingdom
Rasberry and Mint,Rasberry and Mint,English,Green,Clipper,United Kingdom
Mixed Berries,Mixed Berries,English,Herbal,Loyd,United Kingdom
Crisp Spearmint and Bright Lemongrass,menthe verte fraice et de la citronnele vivifante,French,Green,Tazo,United States
